id,userId,symbol,entryPrice,exitPrice,quantity,entryDate,exitDate,pnl,R,description,imageUrl,imageFilename,public_image_url,strategyId,strategyName,properEntry,alignedWithTrend,followedTpPlan,properConditions,properSize,createdAt,updatedAt
cmmt7gil40001skprcghzczbj,cmcz0d0y40002bob5g3uxois9,SPY,184,100,1,2026-03-16T04:00:00.000Z,2026-03-16T04:00:00.000Z,-84,-1,"Playing the potential higher low reversal, but did not have a key level to work off here and was still counter trend. PA looked pretty good and risk was appropriate",/uploads/image-1773666868150-296184999.png,image-1773666868150-296184999.png,https://ztioxennvavttumkaidv.supabase.co/storage/v1/object/public/trade%20screenshots/image-1773666868150-296184999.png,cmdz79y5h00055oyh547plj52,Bounce,true,true,true,true,true,2026-03-16T13:14:28.502Z,2026-03-16T13:14:28.502Z
cmmoav1xp000911rk676glea3,cmcz0d0y40002bob5g3uxois9,AAPL,200,71,1,2026-03-10T04:00:00.000Z,2026-03-10T04:00:00.000Z,-129,-2,"Not a bad set up but had a terrible entry, way too much risk.",/uploads/image-1773370254369-140832531.png,image-1773370254369-140832531.png,https://ztioxennvavttumkaidv.supabase.co/storage/v1/object/public/trade%20screenshots/image-1773370254369-140832531.png,cmdz79y5h00055oyh547plj52,Bounce,true,true,true,true,true,2026-03-13T02:50:54.731Z,2026-03-13T02:50:54.731Z
cmmo9qck5000711rk71xxt2yl,cmcz0d0y40002bob5g3uxois9,SPY,100,55,1,2026-03-09T04:00:00.000Z,2026-03-09T04:00:00.000Z,-45,0,"Shouldn't have taken this trade, got in out of FOMO and anger. Price was about 670. took 2 entries, second one was worse and was 2 candles later.",/uploads/image-1773368355230-992229678.png,image-1773368355230-992229678.png,https://ztioxennvavttumkaidv.supabase.co/storage/v1/object/public/trade%20screenshots/image-1773368355230-992229678.png,cmcz0h6vf0004bob55i409t6t,Reject,true,true,true,true,true,2026-03-13T02:19:15.604Z,2026-03-13T02:19:15.604Z
cmmo9i2gd000511rk3xerkce5,cmcz0d0y40002bob5g3uxois9,SPY,104,40,1,2026-03-09T04:00:00.000Z,2026-03-09T04:00:00.000Z,-64,-1,"Tried the break and retest of 670. Didn't work, but had proper size, lost 9%. Good execution",/uploads/image-1773367968907-249180800.png,image-1773367968907-249180800.png,https://ztioxennvavttumkaidv.supabase.co/storage/v1/object/public/trade%20screenshots/image-1773367968907-249180800.png,cmdz73q5o00015oyh38w6i4s8,Break N Retest,true,true,true,true,true,2026-03-13T02:12:49.262Z,2026-03-13T02:12:49.262Z
cmmo9fk4c000311rkz79etop2,cmcz0d0y40002bob5g3uxois9,SPY,100,153,1,2026-03-09T04:00:00.000Z,2026-03-09T04:00:00.000Z,53,1,"Took a reject, against rules but had a good entry and tight risk. Sold into EMAs.",,,,cmcz0h6vf0004bob55i409t6t,Reject,true,true,true,true,true,2026-03-13T02:10:52.188Z,2026-03-13T02:10:52.188Z
cmmo94nbd000111rkxspw7664,cmcz0d0y40002bob5g3uxois9,NFLX,100,136,1,2026-03-09T04:00:00.000Z,2026-03-09T04:00:00.000Z,36,0,Took the trade on half size because it was within risk tolerance but hadn't pulled back yet. Sold early after contracts were not moving well and prev day low was hit.,/uploads/image-1773367342731-66336007.png,image-1773367342731-66336007.png,https://ztioxennvavttumkaidv.supabase.co/storage/v1/object/public/trade%20screenshots/image-1773367342731-66336007.png,cme7b19xy0001zit5cce1yq3e,Breakdown,true,true,true,true,true,2026-03-13T02:02:23.108Z,2026-03-13T02:02:23.108Z
cmmik8njv0003dwouncj8kz52,cmcz0d0y40002bob5g3uxois9,MSFT,100,20,1,2026-03-06T05:00:00.000Z,2026-03-06T05:00:00.000Z,-80,-1,"Looked like it could have been a nice pullback/reclaim on a strong name, SPY was in demand. Should have got in earlier, but was able to keep risk within tolerance. Trade didn't work out.",/uploads/image-1773023208430-378495102.png,image-1773023208430-378495102.png,https://ztioxennvavttumkaidv.supabase.co/storage/v1/object/public/trade%20screenshots/image-1773023208430-378495102.png,cmeas93x40001c62lktkspqv6,Reclaim,true,true,true,true,true,2026-03-09T02:26:48.763Z,2026-03-09T02:26:48.763Z
cmmik5r1z0001dwou5s8q05qj,cmcz0d0y40002bob5g3uxois9,SPY,100,180,1,2026-03-06T05:00:00.000Z,2026-03-06T05:00:00.000Z,80,1,"Took a reject off yesterdays low, set up does not follow my rules but got a really nice entry and took profits well.",/uploads/image-1773023072988-301730027.png,image-1773023072988-301730027.png,https://ztioxennvavttumkaidv.supabase.co/storage/v1/object/public/trade%20screenshots/image-1773023072988-301730027.png,cmcz0h6vf0004bob55i409t6t,Reject,true,true,true,true,true,2026-03-09T02:24:33.330Z,2026-03-09T02:24:33.330Z
cmme9pssd0007dwgwvo818igd,cmcz0d0y40002bob5g3uxois9,QQQ,100,187,1,2026-03-05T05:00:00.000Z,2026-03-05T05:00:00.000Z,87,1,"Really nice trade, was not in proper size at all because I thought it was going to go higher. Was still within 10% of stop so I should have had one more con. Regardless I executed well and sold at almost LOD.",/uploads/image-1772763667936-783325255.png,image-1772763667936-783325255.png,https://ztioxennvavttumkaidv.supabase.co/storage/v1/object/public/trade%20screenshots/image-1772763667936-783325255.png,cmdz73q5o00015oyh38w6i4s8,Break N Retest,true,true,true,true,true,2026-03-06T02:21:08.220Z,2026-03-06T02:21:08.220Z
cmme9jew30005dwgw5m6h5b53,cmcz0d0y40002bob5g3uxois9,QQQ,300,171,1,2026-03-05T05:00:00.000Z,2026-03-05T05:00:00.000Z,-129,-1,"This was fuckin cooked, I knew it wasn't a good entry and took the trade anyway. And then took it a second time. Just very poor entries overall, don't get filled at the bottom of long wicks like that again. Its almost always going to retest the level and get more liquidity before going. However, right idea the move ended up working out",/uploads/image-1772763369971-884926747.png,image-1772763369971-884926747.png,https://ztioxennvavttumkaidv.supabase.co/storage/v1/object/public/trade%20screenshots/image-1772763369971-884926747.png,cmcz0h6vf0004bob55i409t6t,Reject,true,true,true,true,true,2026-03-06T02:16:10.275Z,2026-03-06T02:16:10.275Z
